,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Stockholms län,1654511,1669840,1686230,1708502,1725756,1744330,1762924,1783440,1803377,1823210,1838882,1850467,1860872,1872900,1889945,1918104,1949516,1981263,2019182,2054343,2091473,2127006,2163042,2198044,2231439,2269060,2308143,2344124
Uppsala län,273918,278610,283006,286642,288475,289153,290473,291413,292415,294196,296627,298655,300495,302564,304367,319925,323270,327188,331898,335882,338630,341977,345481,348942,354164,361373,368971,376354
Södermanlands län,256818,257858,259199,259793,258700,257383,256870,256269,255890,256033,257220,259006,260380,261070,261895,263099,265190,267524,269053,270738,272563,274723,277569,280666,283712,288097,291341,294695
Östergötlands län,406100,408268,411212,415603,416443,415659,414360,412411,411320,411345,412363,413438,414897,415990,416303,417966,420809,423169,427106,429642,431075,433784,437848,442105,445661,452105,457496,461583
Jönköpings län,326653,326852,327920,329406,329595,328726,328068,328059,327266,327829,327824,327971,328659,329297,330179,331539,333610,335246,336044,336866,337896,339116,341235,344262,347837,352735,357237,360825
Kronobergs län,178612,178961,179649,180747,180377,179655,179021,178078,177149,176639,176582,176978,177448,178285,178443,179635,180787,182224,183162,183940,184654,185887,187156,189128,191369,194628,197519,199886
Kalmar län,241883,241912,242528,244057,243372,241896,240160,238104,236501,235391,234697,234627,234886,234496,233944,233776,233834,233397,233639,233536,233090,233548,233874,235598,237679,242301,243536,244670
Gotlands län,57383,57578,57751,58237,58120,57971,57791,57643,57428,57313,57412,57381,57535,57661,57488,57297,57122,57004,57221,57269,57308,57241,57161,57255,57391,58003,58595,59249
Blekinge län,151168,151266,151853,153016,152737,151972,151692,151414,150625,150392,150017,149875,149889,150335,150696,151436,151900,152259,152591,153227,152979,152315,152757,154157,156253,158453,159371,159684
Skåne län,1078225,1086689,1093367,1105986,1111731,1114368,1116603,1120426,1123786,1129424,1136571,1145090,1152697,1160919,1169464,1184500,1199357,1214758,1231062,1243329,1252933,1263088,1274069,1288908,1303627,1324565,1344689,1362164
Hallands län,257874,261172,264607,268067,269338,270060,271325,272539,273537,275004,276653,278551,281322,283788,285868,288859,291393,293572,296825,299484,301724,304116,306840,310665,314784,320333,324825,329352
Västra Götalands län,1448056,1455645,1464073,1477370,1482501,1485014,1485611,1486918,1488709,1494641,1500857,1508230,1514992,1521895,1528455,1538284,1547298,1558130,1569458,1580297,1590604,1600447,1615084,1632012,1648682,1671783,1690782,1709814
Värmlands län,284187,284691,285220,285498,284011,282147,280178,278313,276600,275003,273933,273419,273563,273547,273288,273489,273826,273374,273257,273265,272736,273080,273815,274691,275904,279334,280399,281482
Örebro län,273608,274325,275532,276828,276417,275855,275163,274584,273822,273615,273137,273412,273935,273920,274121,275030,276067,277732,278882,280230,281572,283113,285395,288150,291012,294941,298907,302252
Västmanlands län,259438,260096,260932,261753,261101,259987,258541,257661,256901,256889,257957,258912,260134,261005,261391,248489,249193,249974,251353,252756,254257,256224,259054,261703,264276,267629,271095,273929
Dalarnas län,290388,290245,290515,291203,289956,288171,285232,282898,280575,278259,277010,276636,276520,276042,275755,275711,275618,275867,276454,277047,276565,276555,277349,278903,281028,284531,286165,287191
Gävleborgs län,289339,289190,289612,289654,288509,286789,284636,282226,280717,279262,278171,277012,276866,276599,275994,275653,275556,275908,276220,276508,276130,276637,277970,279991,281815,284586,285637,286547
Västernorrlands län,261280,260829,260567,260295,258290,256587,254354,251884,249299,246903,245078,244319,244105,244195,243736,243978,243449,243372,243042,242625,242155,241981,242156,243061,243897,245572,245968,245453
Jämtlands län,136009,135910,136073,136301,135584,134561,133143,131766,130705,129566,128586,127947,127645,127424,127028,127020,126937,126897,126666,126691,126299,126201,126461,126765,127376,128673,129806,130280
Västerbottens län,253835,255987,258171,259775,260472,259895,259163,257803,256710,255640,254818,255230,255956,256875,257652,257581,257593,257812,258548,259286,259667,260217,261112,262362,263378,265881,268465,270154
Norrbottens län,264834,266089,267092,267648,266011,264320,262317,260473,258094,256238,254733,253632,252874,252585,251740,251886,250602,249677,249019,248609,248545,248637,249436,249987,249733,250570,251295,250497
