Year,ARE,BORLANGE,GOTEBORG,KARLSKRONA,KARLSTAD,KIRUNA,LULEA,LUND,NORRKOPING,NORRTALJE,OSTERSUND,SODRA GOTLAND,STOCKHOLM,STROMSTAD,UMEA,VISBY,VAXJO
2005,,1761.50,1806.10,,1901.90,1516.60,,1982.20,1966.80,,1682.00,,1948.90,,1848.50,2225.10,1729.80
2006,,1808.40,1728.30,,1872.10,1703.30,2041.60,1735.70,1934.30,,1665.00,,1996.00,,1912.80,2135.40,1568.70
2007,,1799.10,1672.90,,1845.50,1612.37,1855.30,1620.70,1759.00,1992.41,1673.20,,1802.50,1988.93,1901.70,1967.50,1470.80
2008,,1811.40,1792.30,,1877.30,1451.63,1744.50,1925.40,1817.35,2146.70,1806.80,,1884.50,2120.39,1847.20,2092.10,1576.70
2009,,1714.24,1780.44,,1785.58,1638.69,1951.29,1898.26,1844.44,2090.78,1614.10,,1880.71,1999.64,1856.13,2145.53,1666.80
2010,,1753.19,1681.13,1949.09,1812.17,1460.79,1914.29,1658.96,1724.69,1978.12,1617.30,,1863.57,2010.65,1911.93,1925.92,1536.73
2011,,1912.67,1643.72,2094.75,1987.06,1531.59,2007.11,1760.49,1991.21,2333.45,1684.86,,2072.29,2042.36,1943.22,2311.88,1674.39
2012,,1579.15,1684.13,2099.32,1861.81,1474.25,1758.90,1715.07,1774.78,2010.93,1500.96,,1775.98,2058.29,1664.88,2032.80,1574.57
2013,1435.48,2050.49,1931.13,2253.75,2209.59,1548.58,2049.49,1915.50,2124.53,2315.40,1857.55,2250.14,2117.17,2232.09,2075.28,2242.30,1781.38
2014,1601.51,1795.44,1835.09,2129.62,1986.94,1563.81,2063.68,1856.43,1861.16,2192.56,1794.60,2186.23,1805.94,2106.21,1871.84,2131.45,1625.10
